,Inner,Middle,Outer,North,South,East,West,Non-Melbourne
Brunswick,x,,,x,,,,
Fitzroy,x,,,x,,,,
CBD,x,,,x,x,x,x,
Carlton North,x,,,x,,,,
Preston,,,x,x,,,,
Carlton,x,,,x,,,,
St Kilda,,x,,,x,,,
South Yarra,x,,,,x,,,
West Melbourne,x,,,,,,x,
Thornbury,,x,,x,,,,
North Melbourne,x,,,x,,,x,
Airport West,,,x,x,,,x,
Torquay,,,,,,,x,x
South Melbourne,x,,,,x,,,
Collingwood,x,,,x,,,,
Prahran,x,x,,,x,,,
Windsor,x,x,,,x,,,
Lorne,,,,,,,x,x
Richmond,x,,,,x,x,,
Glen Waverly,,,x,,x,x,,
Pascoe Vale South,,,x,x,,,,
Carnegie,,x,x,,x,x,,
Oakleigh South,,,x,,x,x,,
Ascot Vale,,x,,x,,,x,
Hawthorn,,x,,,,x,,
Hawthorn East ,,x,,,,x,,
Sunshine,,,x,,,,x,
